Country,year,avg_temp_mean_f,avg_temp_max_f,avg_temp_min_f,total_precip_mm,avg_sunshine_hrs,total_radiation_mj
Albania,1995,56.510574,65.48846,47.232758,1041.9,3523.9133,5675.8496
Albania,1996,56.866665,65.52483,48.08008,1139.2001,3396.9395,5519.93
Albania,1997,57.15496,66.38944,47.63172,747.4,3558.201,5862.1396
Albania,1998,57.61448,66.660675,48.331005,973.6,3541.2886,5808.33
Albania,1999,58.16421,67.41618,48.694458,937.4,3542.5745,5697.7
Albania,2000,57.95542,68.0827,47.799995,708.19995,3690.7256,6038.2
Albania,2001,58.178013,67.3824,48.798267,896.30005,3608.0623,5790.84
Albania,2002,58.17682,67.38018,49.165913,961.1,3453.3906,5548.96
Albania,2003,58.73055,68.085884,48.967663,843.60004,3557.8384,5875.24
Albania,2004,57.80454,67.0536,48.397785,1117.7999,3490.2627,5662.66
Albania,2005,56.61234,65.69928,47.394264,1181.7,3510.1665,5671.34
Albania,2006,57.45334,67.00292,48.17912,846.6,3550.1453,5749.5303
Albania,2007,59.187084,68.725006,49.474865,759.1,3584.9473,5855.87
Albania,2008,58.86754,68.10434,49.42221,819.4,3600.883,5795.7397
Albania,2009,58.806625,67.76707,49.59421,1109.2,3490.5254,5683.76
Albania,2010,58.50443,67.023636,49.7032,1507.9,3380.905,5506.5
Albania,2011,58.314987,68.34355,48.260735,692.0,3685.206,6005.77
Albania,2012,59.26296,68.98541,49.29901,1052.4,3619.9673,6018.0703
Albania,2013,59.217545,68.51615,49.86175,978.69995,3529.2537,5671.8896
Albania,2014,58.76318,67.72095,49.717743,1062.6,3497.2283,5595.43
Albania,2015,59.117657,68.94224,49.447742,890.4,3626.87,5903.4
Albania,2016,59.186028,68.27813,50.25993,1164.2,3526.2593,5660.3203
Albania,2017,59.91815,70.18336,49.952354,1157.4001,3619.7397,5894.61
Albania,2018,61.076435,70.721146,51.98019,1695.2,3343.431,5438.6104
Albania,2019,60.835526,70.69303,51.48679,1427.2,3475.16,5745.3496
Albania,2020,60.587337,70.758156,50.994553,1242.8,3482.7048,5759.95
Algeria,1995,76.18599,88.58697,62.106754,25.5,3995.4739,8096.6895
Algeria,1996,76.33426,88.64459,62.47672,43.0,3967.6055,8047.9297
Algeria,1997,76.06466,88.25952,62.053734,24.400002,3942.3123,7981.21
Algeria,1998,76.38002,88.68905,62.593735,14.200001,3931.1338,8026.87
Algeria,1999,77.131386,89.14324,63.553654,50.899998,3962.4995,8054.26
Algeria,2000,76.04504,88.42081,62.21336,8.6,3994.9934,8144.6797
Algeria,2001,78.28825,90.70948,64.22311,16.1,3991.2283,8162.3296
Algeria,2002,77.4104,89.55527,63.60247,22.5,3989.742,8089.07
Algeria,2003,76.59256,88.612114,63.057793,40.200005,3974.4028,8022.51
Algeria,2004,75.79713,87.87417,62.14499,53.400005,3963.2986,8077.52
Algeria,2005,77.1194,89.18368,63.435543,12.2,3980.5173,8061.84
Algeria,2006,76.9281,88.77807,63.194885,25.900002,3943.021,7958.95
Algeria,2007,76.79551,88.987404,62.758945,3.7,4015.3884,8187.5703
