Country,TrailCount,HardPercent,EasyPercent,AvgLen_mi,AvgElevGain_ft,AvgRating,ReviewCount
Australia,"18,729",0.2,0.1,5.21,1058.5,4.2,1253359
Austria,"8,419",0.3,0.05,5.66,1351.9,4.3,80138
Albania,59,0.7,0.05,6.93,2562.1,4.3,5975
Algeria,4,0.5,0.25,19.7,1140.5,4.4,23
Belize,36,0.25,0.15,2.81,530,4.5,956
Brazil,"9,527",0.45,0.1,4.86,1748.5,4.5,27756
Canada,"29,814",0.42,0.1,4.925,1710.05,4.2,4085482
Chile,"2,280",0.45,0.15,10.02,2449.2,4.4,39530
China,548,0.75,0.1,7.48,29280,4.3,7924
Colombia,"2,047",0.55,0.05,6.05,1681.9,4.5,13714
Costa Rica,"1,589",0.05,0.15,3.01,624,4.4,30115
Croatia,"4,192",0.2,0.2,4.99,917.7,4.3,46101
Cuba,21,0.25,0.3,8.8,1169.5,4.6,152
Denmark,"9,079",0.05,0.1,8.42,787.2,4.1,191757
Dominican Republic,81,0.4333333333,0.1,11.04,3062.9,4.5,1903
Ecuador,227,0.6,0.1,7.71,5801.6,4.4,9330
Estonia,262,0,0.35,4.84,422.1,4.3,3309
Fiji,9,0.5555555556,0.1111111111,12.54444444,11272.4,4.6,255
Finland,"5,561",0.2,0.1,4.48,701,4.2,18772
France,"39,816",0.34,0,5.3025,1507.65,4.2,1154426
Georgia,208,0.7,0,10.02,3312.2,4.4,8691
Germany,"37,885",0.15,0.25,4.06,1010.8,4.1,282913
Greece,"3,787",0.3,0.05,4.52,1598.7,4.1,83454
Honduras,77,0.45,0.15,4.59,1784.7,4.5,850
Hungary,"3,189",0.1,0.15,5.94,1163,4.3,16780
Iceland,652,0.2,0.4,5.07,1159.3,4.4,90741
Japan,"5,833",0.48,0.04,5.545,1840.25,4.2,62140
Kazakhstan,25,0.65,0.05,6.515,2224.8,4.5,734
Kenya,20,0.45,0.35,8.95,3220.6,4.6,1146
Liechtenstein,315,0.5,0.1,5.79,1585.8,4.2,1919
Madagascar,23,0.4,0.15,15.93,3100.8,4.6,121
Malaysia,"4,986",0.25,0,2.53,1090.1,4.3,194055
Mongolia,1,1,0,7,2572,4.5,52
Montenegro,80,0.7,0.05,7.03,2318.7,4.4,6113
Morocco,24,0.15,0.3,6.23,2342.3,4.3,2470
Namibia,33,0.05,0.35,5.02,1026.6,4.5,174
Nepal,67,0.9,0.05,26.6,12385.9,4.4,7691
New Zealand,"5,627",0.6,0.05,6.41,2504.1,4.3,358492
Norway,"9,124",0.50,0.05,5.94,2128.7,4.2,168672
Peru,"2,012",0.9,0,6.36,2195.3,4.5,26877
Philippines,"1,891",0.6,0.15,3.86,1274.2,4.2,5085
Portugal,"9,433",0.2,0.1,5.08,1845.5,4.1,258188
Romania,"1,175",0.6,0.05,5.86,2367.4,4.4,7485
Spain,"23,696",0.55,0,6.3,1715.5,4.1,455144
Slovenia,657,0.25,0.20,4.04,967.1,4.3,24756
Sweden,"8,283",0,0.15,5.46,718.7,4.1,112338
Switzerland,"16,413",0.3,0.12,4.42,1046.222222,4.3,243491
Tanzania,21,0.8,0.05,177.5,6068.1,4.8,2016
Thailand,"2,537",0.38,0.04,4.13,7964.95,4,30018
Turkey,120,0.3,0.15,7.02,1339.1,4.3,13503
United Kingdom,"25,615",0.2,0,7.96,1930.7,4.3,2238887
United States,"112,912",0.68,0.02,5.144,1458.15,4.3,34882746
Vietnam,160,0.25,0.1,4.108,1567.1,4.3,9684
